,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
10,b'0<=X<200',30.0,b'critical/other existing credit',b'new car',5234.0,b'<100',b'unemployed',4.0,b'male mar/wid',b'none',2.0,b'car',28.0,b'none',b'own',2.0,b'high qualif/self emp/mgmt',1.0,b'none',b'yes',b'bad'
11,b'0<=X<200',12.0,b'existing paid',b'new car',1295.0,b'<100',b'<1',3.0,b'female div/dep/mar',b'none',1.0,b'car',25.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
12,b'<0',48.0,b'existing paid',b'business',4308.0,b'<100',b'<1',3.0,b'female div/dep/mar',b'none',4.0,b'life insurance',24.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
13,b'0<=X<200',12.0,b'existing paid',b'radio/tv',1567.0,b'<100',b'1<=X<4',1.0,b'female div/dep/mar',b'none',1.0,b'car',22.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
14,b'<0',24.0,b'critical/other existing credit',b'new car',1199.0,b'<100',b'>=7',4.0,b'male single',b'none',4.0,b'car',60.0,b'none',b'own',2.0,b'unskilled resident',1.0,b'none',b'yes',b'bad'
15,b'<0',15.0,b'existing paid',b'new car',1403.0,b'<100',b'1<=X<4',2.0,b'female div/dep/mar',b'none',4.0,b'car',28.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'good'
16,b'<0',24.0,b'existing paid',b'radio/tv',1282.0,b'100<=X<500',b'1<=X<4',4.0,b'female div/dep/mar',b'none',2.0,b'car',32.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'bad'
17,b'no checking',24.0,b'critical/other existing credit',b'radio/tv',2424.0,b'no known savings',b'>=7',4.0,b'male single',b'none',4.0,b'life insurance',53.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
18,b'<0',30.0,b'no credits/all paid',b'business',8072.0,b'no known savings',b'<1',2.0,b'male single',b'none',3.0,b'car',25.0,b'bank',b'own',3.0,b'skilled',1.0,b'none',b'yes',b'good'
19,b'0<=X<200',24.0,b'existing paid',b'used car',12579.0,b'<100',b'>=7',4.0,b'female div/dep/mar',b'none',2.0,b'no known property',44.0,b'none',b'for free',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
20,b'no checking',24.0,b'existing paid',b'radio/tv',3430.0,b'500<=X<1000',b'>=7',3.0,b'male single',b'none',2.0,b'car',31.0,b'none',b'own',1.0,b'skilled',2.0,b'yes',b'yes',b'good'
21,b'no checking',9.0,b'critical/other existing credit',b'new car',2134.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',4.0,b'car',48.0,b'none',b'own',3.0,b'skilled',1.0,b'yes',b'yes',b'good'
22,b'<0',6.0,b'existing paid',b'radio/tv',2647.0,b'500<=X<1000',b'1<=X<4',2.0,b'male single',b'none',3.0,b'real estate',44.0,b'none',b'rent',1.0,b'skilled',2.0,b'none',b'yes',b'good'
23,b'<0',10.0,b'critical/other existing credit',b'new car',2241.0,b'<100',b'<1',1.0,b'male single',b'none',3.0,b'real estate',48.0,b'none',b'rent',2.0,b'unskilled resident',2.0,b'none',b'no',b'good'
24,b'0<=X<200',12.0,b'critical/other existing credit',b'used car',1804.0,b'100<=X<500',b'<1',3.0,b'male single',b'none',4.0,b'life insurance',44.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
25,b'no checking',10.0,b'critical/other existing credit',b'furniture/equipment',2069.0,b'no known savings',b'1<=X<4',2.0,b'male mar/wid',b'none',1.0,b'car',26.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'no',b'good'
26,b'<0',6.0,b'existing paid',b'furniture/equipment',1374.0,b'<100',b'1<=X<4',1.0,b'male single',b'none',2.0,b'real estate',36.0,b'bank',b'own',1.0,b'unskilled resident',1.0,b'yes',b'yes',b'good'
27,b'no checking',6.0,b'no credits/all paid',b'radio/tv',426.0,b'<100',b'>=7',4.0,b'male mar/wid',b'none',4.0,b'car',39.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
28,b'>=200',12.0,b'all paid',b'radio/tv',409.0,b'>=1000',b'1<=X<4',3.0,b'female div/dep/mar',b'none',3.0,b'real estate',42.0,b'none',b'rent',2.0,b'skilled',1.0,b'none',b'yes',b'good'
29,b'0<=X<200',7.0,b'existing paid',b'radio/tv',2415.0,b'<100',b'1<=X<4',3.0,b'male single',b'guarantor',2.0,b'real estate',34.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
30,b'<0',60.0,b'delayed previously',b'business',6836.0,b'<100',b'>=7',3.0,b'male single',b'none',4.0,b'no known property',63.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'bad'
31,b'0<=X<200',18.0,b'existing paid',b'business',1913.0,b'>=1000',b'<1',3.0,b'male mar/wid',b'none',3.0,b'real estate',36.0,b'bank',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
32,b'<0',24.0,b'existing paid',b'furniture/equipment',4020.0,b'<100',b'1<=X<4',2.0,b'male single',b'none',2.0,b'car',27.0,b'stores',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
33,b'0<=X<200',18.0,b'existing paid',b'new car',5866.0,b'100<=X<500',b'1<=X<4',2.0,b'male single',b'none',2.0,b'car',30.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
34,b'no checking',12.0,b'critical/other existing credit',b'business',1264.0,b'no known savings',b'>=7',4.0,b'male single',b'none',4.0,b'no known property',57.0,b'none',b'rent',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
35,b'>=200',12.0,b'existing paid',b'furniture/equipment',1474.0,b'<100',b'<1',4.0,b'female div/dep/mar',b'none',1.0,b'life insurance',33.0,b'bank',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
36,b'0<=X<200',45.0,b'critical/other existing credit',b'radio/tv',4746.0,b'<100',b'<1',4.0,b'male single',b'none',2.0,b'life insurance',25.0,b'none',b'own',2.0,b'unskilled resident',1.0,b'none',b'yes',b'bad'
37,b'no checking',48.0,b'critical/other existing credit',b'education',6110.0,b'<100',b'1<=X<4',1.0,b'male single',b'none',3.0,b'no known property',31.0,b'bank',b'for free',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
38,b'>=200',18.0,b'existing paid',b'radio/tv',2100.0,b'<100',b'1<=X<4',4.0,b'male single',b'co applicant',2.0,b'real estate',37.0,b'stores',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
39,b'>=200',10.0,b'existing paid',b'domestic appliance',1225.0,b'<100',b'1<=X<4',2.0,b'male single',b'none',2.0,b'car',37.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
40,b'0<=X<200',9.0,b'existing paid',b'radio/tv',458.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',3.0,b'real estate',24.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
41,b'no checking',30.0,b'existing paid',b'radio/tv',2333.0,b'500<=X<1000',b'>=7',4.0,b'male single',b'none',2.0,b'car',30.0,b'bank',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'none',b'yes',b'good'
42,b'0<=X<200',12.0,b'existing paid',b'radio/tv',1158.0,b'500<=X<1000',b'1<=X<4',3.0,b'male div/sep',b'none',1.0,b'car',26.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
43,b'0<=X<200',18.0,b'delayed previously',b'repairs',6204.0,b'<100',b'1<=X<4',2.0,b'male single',b'none',4.0,b'real estate',44.0,b'none',b'own',1.0,b'unskilled resident',2.0,b'yes',b'yes',b'good'
44,b'<0',30.0,b'critical/other existing credit',b'used car',6187.0,b'100<=X<500',b'4<=X<7',1.0,b'male mar/wid',b'none',4.0,b'car',24.0,b'none',b'rent',2.0,b'skilled',1.0,b'none',b'yes',b'good'
45,b'<0',48.0,b'critical/other existing credit',b'used car',6143.0,b'<100',b'>=7',4.0,b'female div/dep/mar',b'none',4.0,b'no known property',58.0,b'stores',b'for free',2.0,b'unskilled resident',1.0,b'none',b'yes',b'bad'
46,b'no checking',11.0,b'critical/other existing credit',b'new car',1393.0,b'<100',b'<1',4.0,b'female div/dep/mar',b'none',4.0,b'car',35.0,b'none',b'own',2.0,b'high qualif/self emp/mgmt',1.0,b'none',b'yes',b'good'
47,b'no checking',36.0,b'existing paid',b'radio/tv',2299.0,b'500<=X<1000',b'>=7',4.0,b'male single',b'none',4.0,b'car',39.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
48,b'<0',6.0,b'existing paid',b'used car',1352.0,b'500<=X<1000',b'unemployed',1.0,b'female div/dep/mar',b'none',2.0,b'life insurance',23.0,b'none',b'rent',1.0,b'unemp/unskilled non res',1.0,b'yes',b'yes',b'good'
49,b'no checking',11.0,b'critical/other existing credit',b'new car',7228.0,b'<100',b'1<=X<4',1.0,b'male single',b'none',4.0,b'life insurance',39.0,b'none',b'own',2.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
50,b'no checking',12.0,b'existing paid',b'radio/tv',2073.0,b'100<=X<500',b'1<=X<4',4.0,b'female div/dep/mar',b'co applicant',2.0,b'real estate',28.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
51,b'0<=X<200',24.0,b'delayed previously',b'furniture/equipment',2333.0,b'no known savings',b'<1',4.0,b'male single',b'none',2.0,b'life insurance',29.0,b'bank',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
52,b'0<=X<200',27.0,b'delayed previously',b'used car',5965.0,b'<100',b'>=7',1.0,b'male single',b'none',2.0,b'car',30.0,b'none',b'own',2.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
53,b'no checking',12.0,b'existing paid',b'radio/tv',1262.0,b'<100',b'1<=X<4',3.0,b'male single',b'none',2.0,b'car',25.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
54,b'no checking',18.0,b'existing paid',b'used car',3378.0,b'no known savings',b'1<=X<4',2.0,b'male single',b'none',1.0,b'life insurance',31.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
55,b'0<=X<200',36.0,b'delayed previously',b'new car',2225.0,b'<100',b'>=7',4.0,b'male single',b'none',4.0,b'no known property',57.0,b'bank',b'for free',2.0,b'skilled',1.0,b'yes',b'yes',b'bad'
56,b'no checking',6.0,b'all paid',b'new car',783.0,b'no known savings',b'1<=X<4',1.0,b'male single',b'guarantor',2.0,b'real estate',26.0,b'stores',b'own',1.0,b'unskilled resident',2.0,b'none',b'yes',b'good'
57,b'0<=X<200',12.0,b'existing paid',b'radio/tv',6468.0,b'no known savings',b'unemployed',2.0,b'male single',b'none',1.0,b'no known property',52.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
58,b'no checking',36.0,b'critical/other existing credit',b'radio/tv',9566.0,b'<100',b'1<=X<4',2.0,b'female div/dep/mar',b'none',2.0,b'car',31.0,b'stores',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
59,b'>=200',18.0,b'existing paid',b'new car',1961.0,b'<100',b'>=7',3.0,b'female div/dep/mar',b'none',2.0,b'car',23.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'none',b'yes',b'good'
60,b'<0',36.0,b'critical/other existing credit',b'furniture/equipment',6229.0,b'<100',b'<1',4.0,b'female div/dep/mar',b'co applicant',4.0,b'no known property',23.0,b'none',b'rent',2.0,b'unskilled resident',1.0,b'yes',b'yes',b'bad'
61,b'0<=X<200',9.0,b'existing paid',b'business',1391.0,b'<100',b'1<=X<4',2.0,b'male mar/wid',b'none',1.0,b'real estate',27.0,b'bank',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
62,b'0<=X<200',15.0,b'critical/other existing credit',b'radio/tv',1537.0,b'no known savings',b'>=7',4.0,b'male single',b'guarantor',4.0,b'real estate',50.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
63,b'0<=X<200',36.0,b'no credits/all paid',b'business',1953.0,b'<100',b'>=7',4.0,b'male single',b'none',4.0,b'no known property',61.0,b'none',b'for free',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
64,b'0<=X<200',48.0,b'no credits/all paid',b'business',14421.0,b'<100',b'1<=X<4',2.0,b'male single',b'none',2.0,b'car',25.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'bad'
65,b'no checking',24.0,b'existing paid',b'radio/tv',3181.0,b'<100',b'<1',4.0,b'female div/dep/mar',b'none',4.0,b'life insurance',26.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
66,b'no checking',27.0,b'existing paid',b'repairs',5190.0,b'no known savings',b'>=7',4.0,b'male single',b'none',4.0,b'life insurance',48.0,b'none',b'own',4.0,b'skilled',2.0,b'yes',b'yes',b'good'
67,b'no checking',12.0,b'existing paid',b'radio/tv',2171.0,b'<100',b'<1',2.0,b'female div/dep/mar',b'none',2.0,b'car',29.0,b'bank',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
68,b'0<=X<200',12.0,b'existing paid',b'new car',1007.0,b'>=1000',b'1<=X<4',4.0,b'male mar/wid',b'none',1.0,b'real estate',22.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
69,b'no checking',36.0,b'existing paid',b'education',1819.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',4.0,b'no known property',37.0,b'stores',b'for free',1.0,b'skilled',1.0,b'yes',b'yes',b'bad'
70,b'no checking',36.0,b'existing paid',b'radio/tv',2394.0,b'no known savings',b'1<=X<4',4.0,b'female div/dep/mar',b'none',4.0,b'car',25.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
71,b'no checking',36.0,b'existing paid',b'used car',8133.0,b'<100',b'1<=X<4',1.0,b'female div/dep/mar',b'none',2.0,b'life insurance',30.0,b'bank',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
72,b'no checking',7.0,b'critical/other existing credit',b'radio/tv',730.0,b'no known savings',b'>=7',4.0,b'male single',b'none',2.0,b'life insurance',46.0,b'none',b'rent',2.0,b'unskilled resident',1.0,b'yes',b'yes',b'good'
73,b'<0',8.0,b'critical/other existing credit',b'other',1164.0,b'<100',b'>=7',3.0,b'male single',b'none',4.0,b'no known property',51.0,b'bank',b'for free',2.0,b'high qualif/self emp/mgmt',2.0,b'yes',b'yes',b'good'
74,b'0<=X<200',42.0,b'critical/other existing credit',b'business',5954.0,b'<100',b'4<=X<7',2.0,b'female div/dep/mar',b'none',1.0,b'real estate',41.0,b'bank',b'own',2.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
75,b'<0',36.0,b'existing paid',b'education',1977.0,b'no known savings',b'>=7',4.0,b'male single',b'none',4.0,b'no known property',40.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
76,b'<0',12.0,b'critical/other existing credit',b'used car',1526.0,b'<100',b'>=7',4.0,b'male single',b'none',4.0,b'no known property',66.0,b'none',b'for free',2.0,b'high qualif/self emp/mgmt',1.0,b'none',b'yes',b'good'
77,b'<0',42.0,b'existing paid',b'radio/tv',3965.0,b'<100',b'<1',4.0,b'male single',b'none',3.0,b'car',34.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
78,b'0<=X<200',11.0,b'delayed previously',b'radio/tv',4771.0,b'<100',b'4<=X<7',2.0,b'male single',b'none',4.0,b'life insurance',51.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
79,b'no checking',54.0,b'no credits/all paid',b'used car',9436.0,b'no known savings',b'1<=X<4',2.0,b'male single',b'none',2.0,b'life insurance',39.0,b'none',b'own',1.0,b'unskilled resident',2.0,b'none',b'yes',b'good'
80,b'0<=X<200',30.0,b'existing paid',b'furniture/equipment',3832.0,b'<100',b'<1',2.0,b'male mar/wid',b'none',1.0,b'life insurance',22.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
81,b'no checking',24.0,b'existing paid',b'radio/tv',5943.0,b'no known savings',b'<1',1.0,b'female div/dep/mar',b'none',1.0,b'car',44.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'bad'
82,b'no checking',15.0,b'existing paid',b'radio/tv',1213.0,b'500<=X<1000',b'>=7',4.0,b'male single',b'none',3.0,b'life insurance',47.0,b'stores',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
83,b'no checking',18.0,b'existing paid',b'business',1568.0,b'100<=X<500',b'1<=X<4',3.0,b'female div/dep/mar',b'none',4.0,b'life insurance',24.0,b'none',b'rent',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
84,b'<0',24.0,b'existing paid',b'other',1755.0,b'<100',b'>=7',4.0,b'female div/dep/mar',b'guarantor',4.0,b'real estate',58.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'yes',b'yes',b'good'
85,b'<0',10.0,b'existing paid',b'radio/tv',2315.0,b'<100',b'>=7',3.0,b'male single',b'none',4.0,b'real estate',52.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
86,b'no checking',12.0,b'critical/other existing credit',b'business',1412.0,b'<100',b'1<=X<4',4.0,b'female div/dep/mar',b'guarantor',2.0,b'real estate',29.0,b'none',b'own',2.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
87,b'0<=X<200',18.0,b'critical/other existing credit',b'furniture/equipment',1295.0,b'<100',b'<1',4.0,b'female div/dep/mar',b'none',1.0,b'life insurance',27.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
88,b'0<=X<200',36.0,b'existing paid',b'education',12612.0,b'100<=X<500',b'1<=X<4',1.0,b'male single',b'none',4.0,b'no known property',47.0,b'none',b'for free',1.0,b'skilled',2.0,b'yes',b'yes',b'bad'
89,b'<0',18.0,b'existing paid',b'new car',2249.0,b'100<=X<500',b'4<=X<7',4.0,b'male single',b'none',3.0,b'car',30.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',2.0,b'yes',b'yes',b'good'
90,b'<0',12.0,b'no credits/all paid',b'repairs',1108.0,b'<100',b'4<=X<7',4.0,b'male single',b'none',3.0,b'real estate',28.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'bad'
91,b'no checking',12.0,b'critical/other existing credit',b'radio/tv',618.0,b'<100',b'>=7',4.0,b'male single',b'none',4.0,b'real estate',56.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
92,b'<0',12.0,b'critical/other existing credit',b'used car',1409.0,b'<100',b'>=7',4.0,b'male single',b'none',3.0,b'real estate',54.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
93,b'no checking',12.0,b'critical/other existing credit',b'radio/tv',797.0,b'no known savings',b'>=7',4.0,b'female div/dep/mar',b'none',3.0,b'life insurance',33.0,b'bank',b'own',1.0,b'unskilled resident',2.0,b'none',b'yes',b'bad'
94,b'>=200',24.0,b'critical/other existing credit',b'furniture/equipment',3617.0,b'no known savings',b'>=7',4.0,b'male single',b'co applicant',4.0,b'no known property',20.0,b'none',b'rent',2.0,b'skilled',1.0,b'none',b'yes',b'good'
95,b'0<=X<200',12.0,b'existing paid',b'new car',1318.0,b'>=1000',b'>=7',4.0,b'male single',b'none',4.0,b'real estate',54.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
96,b'0<=X<200',54.0,b'no credits/all paid',b'business',15945.0,b'<100',b'<1',3.0,b'male single',b'none',4.0,b'no known property',58.0,b'none',b'rent',1.0,b'skilled',1.0,b'yes',b'yes',b'bad'
97,b'no checking',12.0,b'critical/other existing credit',b'education',2012.0,b'no known savings',b'4<=X<7',4.0,b'female div/dep/mar',b'none',2.0,b'car',61.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
98,b'0<=X<200',18.0,b'existing paid',b'business',2622.0,b'100<=X<500',b'1<=X<4',4.0,b'male single',b'none',4.0,b'car',34.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
99,b'0<=X<200',36.0,b'critical/other existing credit',b'radio/tv',2337.0,b'<100',b'>=7',4.0,b'male single',b'none',4.0,b'real estate',36.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
100,b'0<=X<200',20.0,b'delayed previously',b'used car',7057.0,b'no known savings',b'4<=X<7',3.0,b'male single',b'none',4.0,b'life insurance',36.0,b'bank',b'rent',2.0,b'high qualif/self emp/mgmt',2.0,b'yes',b'yes',b'good'
101,b'no checking',24.0,b'existing paid',b'new car',1469.0,b'100<=X<500',b'>=7',4.0,b'male mar/wid',b'none',4.0,b'real estate',41.0,b'none',b'rent',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
102,b'0<=X<200',36.0,b'existing paid',b'radio/tv',2323.0,b'<100',b'4<=X<7',4.0,b'male single',b'none',4.0,b'car',24.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'good'
103,b'no checking',6.0,b'delayed previously',b'radio/tv',932.0,b'<100',b'1<=X<4',3.0,b'female div/dep/mar',b'none',2.0,b'real estate',24.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
104,b'0<=X<200',9.0,b'critical/other existing credit',b'furniture/equipment',1919.0,b'<100',b'4<=X<7',4.0,b'male single',b'none',3.0,b'car',35.0,b'none',b'rent',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
105,b'no checking',12.0,b'existing paid',b'used car',2445.0,b'no known savings',b'<1',2.0,b'male mar/wid',b'none',4.0,b'car',26.0,b'none',b'rent',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
106,b'0<=X<200',24.0,b'critical/other existing credit',b'other',11938.0,b'<100',b'1<=X<4',2.0,b'male single',b'co applicant',3.0,b'car',39.0,b'none',b'own',2.0,b'high qualif/self emp/mgmt',2.0,b'yes',b'yes',b'bad'
107,b'no checking',18.0,b'all paid',b'new car',6458.0,b'<100',b'>=7',2.0,b'male single',b'none',4.0,b'no known property',39.0,b'bank',b'own',2.0,b'high qualif/self emp/mgmt',2.0,b'yes',b'yes',b'bad'
108,b'0<=X<200',12.0,b'existing paid',b'new car',6078.0,b'<100',b'4<=X<7',2.0,b'male single',b'none',2.0,b'car',32.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
109,b'<0',24.0,b'existing paid',b'furniture/equipment',7721.0,b'no known savings',b'<1',1.0,b'female div/dep/mar',b'none',2.0,b'life insurance',30.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'no',b'good'
110,b'0<=X<200',14.0,b'existing paid',b'business',1410.0,b'500<=X<1000',b'>=7',1.0,b'male mar/wid',b'none',2.0,b'real estate',35.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
111,b'0<=X<200',6.0,b'delayed previously',b'business',1449.0,b'100<=X<500',b'>=7',1.0,b'male div/sep',b'none',2.0,b'car',31.0,b'bank',b'own',2.0,b'skilled',2.0,b'none',b'yes',b'good'
112,b'>=200',15.0,b'existing paid',b'education',392.0,b'<100',b'<1',4.0,b'female div/dep/mar',b'none',4.0,b'life insurance',23.0,b'none',b'rent',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
113,b'0<=X<200',18.0,b'existing paid',b'new car',6260.0,b'<100',b'4<=X<7',3.0,b'male single',b'none',3.0,b'real estate',28.0,b'none',b'rent',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
114,b'no checking',36.0,b'critical/other existing credit',b'new car',7855.0,b'<100',b'1<=X<4',4.0,b'female div/dep/mar',b'none',2.0,b'real estate',25.0,b'stores',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'bad'
115,b'<0',12.0,b'existing paid',b'radio/tv',1680.0,b'500<=X<1000',b'>=7',3.0,b'male mar/wid',b'none',1.0,b'real estate',35.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
116,b'no checking',48.0,b'critical/other existing credit',b'radio/tv',3578.0,b'no known savings',b'>=7',4.0,b'male single',b'none',1.0,b'real estate',47.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
117,b'<0',42.0,b'existing paid',b'radio/tv',7174.0,b'no known savings',b'4<=X<7',4.0,b'female div/dep/mar',b'none',3.0,b'car',30.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
118,b'<0',10.0,b'critical/other existing credit',b'furniture/equipment',2132.0,b'no known savings',b'<1',2.0,b'female div/dep/mar',b'co applicant',3.0,b'real estate',27.0,b'none',b'rent',2.0,b'skilled',1.0,b'none',b'no',b'good'
119,b'<0',33.0,b'critical/other existing credit',b'furniture/equipment',4281.0,b'500<=X<1000',b'1<=X<4',1.0,b'female div/dep/mar',b'none',4.0,b'car',23.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'bad'
