status of checking account,duration in month,credit history,purpose,credit amount,savings account/bonds,present employment since,installment rate in percentage,personal status and sex,other debtors / guarantors,present residence since,property,age,other installment plans,housing,number of existing credits,job,no of people being liable,telephone,foreign worker,class
x < 0 DM,30,no credits taken/ all credits paid back duly,business,8072,unknown/ no savings account, x < 1 year,2,male:single,none,3,car or other,25,bank,own,3,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,24,existing credits paid back duly till now,car (used),12579,x <  100 DM,x >= 7 years,4,female:divorced/separated/married,none,2,unknown/no property,44,none,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
no checking account,24,existing credits paid back duly till now,radio/television,3430,500 <= x < 1000 DM,x >= 7 years,3,male:single,none,2,car or other,31,none,own,1,skilled employee/official,2,"yes, registered under the customers name",yes,1
no checking account,9,critical account/ other credits existing (not at this bank),car (new),2134,x <  100 DM,1  <= x < 4 years,4,male:single,none,4,car or other,48,none,own,3,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,6,existing credits paid back duly till now,radio/television,2647,500 <= x < 1000 DM,1  <= x < 4 years,2,male:single,none,3,real estate,44,none,rent,1,skilled employee/official,2,none,yes,1
x < 0 DM,10,critical account/ other credits existing (not at this bank),car (new),2241,x <  100 DM, x < 1 year,1,male:single,none,3,real estate,48,none,rent,2,unskilled-resident,2,none,no,1
0 <= x < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1804,100 <= x <  500 DM, x < 1 year,3,male:single,none,4,if not A121:building society savings agreement/life insurance,44,none,own,1,skilled employee/official,1,none,yes,1
no checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,2069,unknown/ no savings account,1  <= x < 4 years,2,male:married/widowed,none,1,car or other,26,none,own,2,skilled employee/official,1,none,no,1
x < 0 DM,6,existing credits paid back duly till now,furniture/equipment,1374,x <  100 DM,1  <= x < 4 years,1,male:single,none,2,real estate,36,bank,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,1
no checking account,6,no credits taken/ all credits paid back duly,radio/television,426,x <  100 DM,x >= 7 years,4,male:married/widowed,none,4,car or other,39,none,own,1,unskilled-resident,1,none,yes,1
x >= 200 DM_salary assignments for at least 1 year,12,all credits at this bank paid back duly,radio/television,409,x >= 1000 DM,1  <= x < 4 years,3,female:divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,7,existing credits paid back duly till now,radio/television,2415,x <  100 DM,1  <= x < 4 years,3,male:single,guarantor,2,real estate,34,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,60,delay in paying off in the past,business,6836,x <  100 DM,x >= 7 years,3,male:single,none,4,unknown/no property,63,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,2
0 <= x < 200 DM,18,existing credits paid back duly till now,business,1913,x >= 1000 DM, x < 1 year,3,male:married/widowed,none,3,real estate,36,bank,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,24,existing credits paid back duly till now,furniture/equipment,4020,x <  100 DM,1  <= x < 4 years,2,male:single,none,2,car or other,27,stores,own,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,18,existing credits paid back duly till now,car (new),5866,100 <= x <  500 DM,1  <= x < 4 years,2,male:single,none,2,car or other,30,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,12,critical account/ other credits existing (not at this bank),business,1264,unknown/ no savings account,x >= 7 years,4,male:single,none,4,unknown/no property,57,none,rent,1,unskilled-resident,1,none,yes,1
x >= 200 DM_salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,1474,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,1,if not A121:building society savings agreement/life insurance,33,bank,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,45,critical account/ other credits existing (not at this bank),radio/television,4746,x <  100 DM, x < 1 year,4,male:single,none,2,if not A121:building society savings agreement/life insurance,25,none,own,2,unskilled-resident,1,none,yes,2
no checking account,48,critical account/ other credits existing (not at this bank),education,6110,x <  100 DM,1  <= x < 4 years,1,male:single,none,3,unknown/no property,31,bank,for free,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
x >= 200 DM_salary assignments for at least 1 year,18,existing credits paid back duly till now,radio/television,2100,x <  100 DM,1  <= x < 4 years,4,male:single,co-applicant,2,real estate,37,stores,own,1,skilled employee/official,1,none,yes,2
x >= 200 DM_salary assignments for at least 1 year,10,existing credits paid back duly till now,domestic appliances,1225,x <  100 DM,1  <= x < 4 years,2,male:single,none,2,car or other,37,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,9,existing credits paid back duly till now,radio/television,458,x <  100 DM,1  <= x < 4 years,4,male:single,none,3,real estate,24,none,own,1,skilled employee/official,1,none,yes,1
no checking account,30,existing credits paid back duly till now,radio/television,2333,500 <= x < 1000 DM,x >= 7 years,4,male:single,none,2,car or other,30,bank,own,1,management/self-employed/highly qualified employee/ officer,1,none,yes,1
0 <= x < 200 DM,12,existing credits paid back duly till now,radio/television,1158,500 <= x < 1000 DM,1  <= x < 4 years,3,male:divorced/separated,none,1,car or other,26,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,18,delay in paying off in the past,repairs,6204,x <  100 DM,1  <= x < 4 years,2,male:single,none,4,real estate,44,none,own,1,unskilled-resident,2,"yes, registered under the customers name",yes,1
x < 0 DM,30,critical account/ other credits existing (not at this bank),car (used),6187,100 <= x <  500 DM,4  <= x < 7 years,1,male:married/widowed,none,4,car or other,24,none,rent,2,skilled employee/official,1,none,yes,1
x < 0 DM,48,critical account/ other credits existing (not at this bank),car (used),6143,x <  100 DM,x >= 7 years,4,female:divorced/separated/married,none,4,unknown/no property,58,stores,for free,2,unskilled-resident,1,none,yes,2
no checking account,11,critical account/ other credits existing (not at this bank),car (new),1393,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,4,car or other,35,none,own,2,management/self-employed/highly qualified employee/ officer,1,none,yes,1
no checking account,36,existing credits paid back duly till now,radio/television,2299,500 <= x < 1000 DM,x >= 7 years,4,male:single,none,4,car or other,39,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,6,existing credits paid back duly till now,car (used),1352,500 <= x < 1000 DM,unemployed,1,female:divorced/separated/married,none,2,if not A121:building society savings agreement/life insurance,23,none,rent,1,unemployed/unskilled-non-resident,1,"yes, registered under the customers name",yes,1
no checking account,11,critical account/ other credits existing (not at this bank),car (new),7228,x <  100 DM,1  <= x < 4 years,1,male:single,none,4,if not A121:building society savings agreement/life insurance,39,none,own,2,unskilled-resident,1,none,yes,1
no checking account,12,existing credits paid back duly till now,radio/television,2073,100 <= x <  500 DM,1  <= x < 4 years,4,female:divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,24,delay in paying off in the past,furniture/equipment,2333,unknown/ no savings account, x < 1 year,4,male:single,none,2,if not A121:building society savings agreement/life insurance,29,bank,own,1,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,27,delay in paying off in the past,car (used),5965,x <  100 DM,x >= 7 years,1,male:single,none,2,car or other,30,none,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,12,existing credits paid back duly till now,radio/television,1262,x <  100 DM,1  <= x < 4 years,3,male:single,none,2,car or other,25,none,own,1,skilled employee/official,1,none,yes,1
no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/ no savings account,1  <= x < 4 years,2,male:single,none,1,if not A121:building society savings agreement/life insurance,31,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,36,delay in paying off in the past,car (new),2225,x <  100 DM,x >= 7 years,4,male:single,none,4,unknown/no property,57,bank,for free,2,skilled employee/official,1,"yes, registered under the customers name",yes,2
no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/ no savings account,1  <= x < 4 years,1,male:single,guarantor,2,real estate,26,stores,own,1,unskilled-resident,2,none,yes,1
0 <= x < 200 DM,12,existing credits paid back duly till now,radio/television,6468,unknown/ no savings account,unemployed,2,male:single,none,1,unknown/no property,52,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
no checking account,36,critical account/ other credits existing (not at this bank),radio/television,9566,x <  100 DM,1  <= x < 4 years,2,female:divorced/separated/married,none,2,car or other,31,stores,own,2,skilled employee/official,1,none,yes,1
x >= 200 DM_salary assignments for at least 1 year,18,existing credits paid back duly till now,car (new),1961,x <  100 DM,x >= 7 years,3,female:divorced/separated/married,none,2,car or other,23,none,own,1,management/self-employed/highly qualified employee/ officer,1,none,yes,1
x < 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,6229,x <  100 DM, x < 1 year,4,female:divorced/separated/married,co-applicant,4,unknown/no property,23,none,rent,2,unskilled-resident,1,"yes, registered under the customers name",yes,2
0 <= x < 200 DM,9,existing credits paid back duly till now,business,1391,x <  100 DM,1  <= x < 4 years,2,male:married/widowed,none,1,real estate,27,bank,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,1537,unknown/ no savings account,x >= 7 years,4,male:single,guarantor,4,real estate,50,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,36,no credits taken/ all credits paid back duly,business,1953,x <  100 DM,x >= 7 years,4,male:single,none,4,unknown/no property,61,none,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
0 <= x < 200 DM,48,no credits taken/ all credits paid back duly,business,14421,x <  100 DM,1  <= x < 4 years,2,male:single,none,2,car or other,25,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,2
no checking account,24,existing credits paid back duly till now,radio/television,3181,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,27,existing credits paid back duly till now,repairs,5190,unknown/ no savings account,x >= 7 years,4,male:single,none,4,if not A121:building society savings agreement/life insurance,48,none,own,4,skilled employee/official,2,"yes, registered under the customers name",yes,1
no checking account,12,existing credits paid back duly till now,radio/television,2171,x <  100 DM, x < 1 year,2,female:divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,12,existing credits paid back duly till now,car (new),1007,x >= 1000 DM,1  <= x < 4 years,4,male:married/widowed,none,1,real estate,22,none,own,1,skilled employee/official,1,none,yes,1
no checking account,36,existing credits paid back duly till now,education,1819,x <  100 DM,1  <= x < 4 years,4,male:single,none,4,unknown/no property,37,stores,for free,1,skilled employee/official,1,"yes, registered under the customers name",yes,2
no checking account,36,existing credits paid back duly till now,radio/television,2394,unknown/ no savings account,1  <= x < 4 years,4,female:divorced/separated/married,none,4,car or other,25,none,own,1,skilled employee/official,1,none,yes,1
no checking account,36,existing credits paid back duly till now,car (used),8133,x <  100 DM,1  <= x < 4 years,1,female:divorced/separated/married,none,2,if not A121:building society savings agreement/life insurance,30,bank,own,1,skilled employee/official,1,none,yes,1
no checking account,7,critical account/ other credits existing (not at this bank),radio/television,730,unknown/ no savings account,x >= 7 years,4,male:single,none,2,if not A121:building society savings agreement/life insurance,46,none,rent,2,unskilled-resident,1,"yes, registered under the customers name",yes,1
x < 0 DM,8,critical account/ other credits existing (not at this bank),others,1164,x <  100 DM,x >= 7 years,3,male:single,none,4,unknown/no property,51,bank,for free,2,management/self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,42,critical account/ other credits existing (not at this bank),business,5954,x <  100 DM,4  <= x < 7 years,2,female:divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled-resident,1,none,yes,1
x < 0 DM,36,existing credits paid back duly till now,education,1977,unknown/ no savings account,x >= 7 years,4,male:single,none,4,unknown/no property,40,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
x < 0 DM,12,critical account/ other credits existing (not at this bank),car (used),1526,x <  100 DM,x >= 7 years,4,male:single,none,4,unknown/no property,66,none,for free,2,management/self-employed/highly qualified employee/ officer,1,none,yes,1
x < 0 DM,42,existing credits paid back duly till now,radio/television,3965,x <  100 DM, x < 1 year,4,male:single,none,3,car or other,34,none,own,1,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,11,delay in paying off in the past,radio/television,4771,x <  100 DM,4  <= x < 7 years,2,male:single,none,4,if not A121:building society savings agreement/life insurance,51,none,own,1,skilled employee/official,1,none,yes,1
no checking account,54,no credits taken/ all credits paid back duly,car (used),9436,unknown/ no savings account,1  <= x < 4 years,2,male:single,none,2,if not A121:building society savings agreement/life insurance,39,none,own,1,unskilled-resident,2,none,yes,1
0 <= x < 200 DM,30,existing credits paid back duly till now,furniture/equipment,3832,x <  100 DM, x < 1 year,2,male:married/widowed,none,1,if not A121:building society savings agreement/life insurance,22,none,own,1,skilled employee/official,1,none,yes,1
no checking account,24,existing credits paid back duly till now,radio/television,5943,unknown/ no savings account, x < 1 year,1,female:divorced/separated/married,none,1,car or other,44,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,2
no checking account,15,existing credits paid back duly till now,radio/television,1213,500 <= x < 1000 DM,x >= 7 years,4,male:single,none,3,if not A121:building society savings agreement/life insurance,47,stores,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,18,existing credits paid back duly till now,business,1568,100 <= x <  500 DM,1  <= x < 4 years,3,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,24,none,rent,1,unskilled-resident,1,none,yes,1
x < 0 DM,24,existing credits paid back duly till now,others,1755,x <  100 DM,x >= 7 years,4,female:divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,1
x < 0 DM,10,existing credits paid back duly till now,radio/television,2315,x <  100 DM,x >= 7 years,3,male:single,none,4,real estate,52,none,own,1,unskilled-resident,1,none,yes,1
no checking account,12,critical account/ other credits existing (not at this bank),business,1412,x <  100 DM,1  <= x < 4 years,4,female:divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1295,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,1,if not A121:building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,36,existing credits paid back duly till now,education,12612,100 <= x <  500 DM,1  <= x < 4 years,1,male:single,none,4,unknown/no property,47,none,for free,1,skilled employee/official,2,"yes, registered under the customers name",yes,2
x < 0 DM,18,existing credits paid back duly till now,car (new),2249,100 <= x <  500 DM,4  <= x < 7 years,4,male:single,none,3,car or other,30,none,own,1,management/self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1
x < 0 DM,12,no credits taken/ all credits paid back duly,repairs,1108,x <  100 DM,4  <= x < 7 years,4,male:single,none,3,real estate,28,none,own,2,skilled employee/official,1,none,yes,2
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,618,x <  100 DM,x >= 7 years,4,male:single,none,4,real estate,56,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,12,critical account/ other credits existing (not at this bank),car (used),1409,x <  100 DM,x >= 7 years,4,male:single,none,3,real estate,54,none,own,1,skilled employee/official,1,none,yes,1
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,797,unknown/ no savings account,x >= 7 years,4,female:divorced/separated/married,none,3,if not A121:building society savings agreement/life insurance,33,bank,own,1,unskilled-resident,2,none,yes,2
x >= 200 DM_salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),furniture/equipment,3617,unknown/ no savings account,x >= 7 years,4,male:single,co-applicant,4,unknown/no property,20,none,rent,2,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,12,existing credits paid back duly till now,car (new),1318,x >= 1000 DM,x >= 7 years,4,male:single,none,4,real estate,54,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,54,no credits taken/ all credits paid back duly,business,15945,x <  100 DM, x < 1 year,3,male:single,none,4,unknown/no property,58,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,2
no checking account,12,critical account/ other credits existing (not at this bank),education,2012,unknown/ no savings account,4  <= x < 7 years,4,female:divorced/separated/married,none,2,car or other,61,none,own,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,18,existing credits paid back duly till now,business,2622,100 <= x <  500 DM,1  <= x < 4 years,4,male:single,none,4,car or other,34,none,own,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,36,critical account/ other credits existing (not at this bank),radio/television,2337,x <  100 DM,x >= 7 years,4,male:single,none,4,real estate,36,none,own,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,20,delay in paying off in the past,car (used),7057,unknown/ no savings account,4  <= x < 7 years,3,male:single,none,4,if not A121:building society savings agreement/life insurance,36,bank,rent,2,management/self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1
no checking account,24,existing credits paid back duly till now,car (new),1469,100 <= x <  500 DM,x >= 7 years,4,male:married/widowed,none,4,real estate,41,none,rent,1,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,36,existing credits paid back duly till now,radio/television,2323,x <  100 DM,4  <= x < 7 years,4,male:single,none,4,car or other,24,none,rent,1,skilled employee/official,1,none,yes,1
no checking account,6,delay in paying off in the past,radio/television,932,x <  100 DM,1  <= x < 4 years,3,female:divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,9,critical account/ other credits existing (not at this bank),furniture/equipment,1919,x <  100 DM,4  <= x < 7 years,4,male:single,none,3,car or other,35,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,12,existing credits paid back duly till now,car (used),2445,unknown/ no savings account, x < 1 year,2,male:married/widowed,none,4,car or other,26,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,24,critical account/ other credits existing (not at this bank),others,11938,x <  100 DM,1  <= x < 4 years,2,male:single,co-applicant,3,car or other,39,none,own,2,management/self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name",yes,2
no checking account,18,all credits at this bank paid back duly,car (new),6458,x <  100 DM,x >= 7 years,2,male:single,none,4,unknown/no property,39,bank,own,2,management/self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name",yes,2
0 <= x < 200 DM,12,existing credits paid back duly till now,car (new),6078,x <  100 DM,4  <= x < 7 years,2,male:single,none,2,car or other,32,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,24,existing credits paid back duly till now,furniture/equipment,7721,unknown/ no savings account, x < 1 year,1,female:divorced/separated/married,none,2,if not A121:building society savings agreement/life insurance,30,none,own,1,skilled employee/official,1,"yes, registered under the customers name",no,1
0 <= x < 200 DM,14,existing credits paid back duly till now,business,1410,500 <= x < 1000 DM,x >= 7 years,1,male:married/widowed,none,2,real estate,35,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,6,delay in paying off in the past,business,1449,100 <= x <  500 DM,x >= 7 years,1,male:divorced/separated,none,2,car or other,31,bank,own,2,skilled employee/official,2,none,yes,1
x >= 200 DM_salary assignments for at least 1 year,15,existing credits paid back duly till now,education,392,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,23,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,18,existing credits paid back duly till now,car (new),6260,x <  100 DM,4  <= x < 7 years,3,male:single,none,3,real estate,28,none,rent,1,unskilled-resident,1,none,yes,1
no checking account,36,critical account/ other credits existing (not at this bank),car (new),7855,x <  100 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,2
x < 0 DM,12,existing credits paid back duly till now,radio/television,1680,500 <= x < 1000 DM,x >= 7 years,3,male:married/widowed,none,1,real estate,35,none,own,1,skilled employee/official,1,none,yes,1
no checking account,48,critical account/ other credits existing (not at this bank),radio/television,3578,unknown/ no savings account,x >= 7 years,4,male:single,none,1,real estate,47,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,42,existing credits paid back duly till now,radio/television,7174,unknown/ no savings account,4  <= x < 7 years,4,female:divorced/separated/married,none,3,car or other,30,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
x < 0 DM,10,critical account/ other credits existing (not at this bank),furniture/equipment,2132,unknown/ no savings account, x < 1 year,2,female:divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee/official,1,none,no,1
x < 0 DM,33,critical account/ other credits existing (not at this bank),furniture/equipment,4281,500 <= x < 1000 DM,1  <= x < 4 years,1,female:divorced/separated/married,none,4,car or other,23,none,own,2,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),2366,500 <= x < 1000 DM,4  <= x < 7 years,3,male:divorced/separated,none,3,car or other,36,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
x < 0 DM,21,existing credits paid back duly till now,radio/television,1835,x <  100 DM,1  <= x < 4 years,3,female:divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,2
no checking account,24,critical account/ other credits existing (not at this bank),car (used),3868,x <  100 DM,x >= 7 years,4,female:divorced/separated/married,none,2,car or other,41,none,rent,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,12,existing credits paid back duly till now,furniture/equipment,1768,x <  100 DM,1  <= x < 4 years,3,male:single,none,2,real estate,24,none,rent,1,unskilled-resident,1,none,yes,1
x >= 200 DM_salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),car (new),781,x <  100 DM,x >= 7 years,4,male:single,none,4,unknown/no property,63,none,for free,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,18,existing credits paid back duly till now,furniture/equipment,1924,unknown/ no savings account, x < 1 year,4,female:divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee/official,1,none,yes,2
x < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2121,x <  100 DM,1  <= x < 4 years,4,male:single,none,2,if not A121:building society savings agreement/life insurance,30,none,own,2,skilled employee/official,1,none,yes,1
x < 0 DM,12,existing credits paid back duly till now,radio/television,701,x <  100 DM,1  <= x < 4 years,4,male:married/widowed,none,2,real estate,40,none,own,1,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,12,existing credits paid back duly till now,repairs,639,x <  100 DM,1  <= x < 4 years,4,male:single,none,2,car or other,30,none,own,1,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1860,x <  100 DM,unemployed,4,male:single,none,2,car or other,34,none,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
x < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),3499,x <  100 DM,1  <= x < 4 years,3,female:divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,48,existing credits paid back duly till now,car (new),8487,unknown/ no savings account,4  <= x < 7 years,1,female:divorced/separated/married,none,2,car or other,24,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,36,delay in paying off in the past,education,6887,x <  100 DM,1  <= x < 4 years,4,male:single,none,3,if not A121:building society savings agreement/life insurance,29,stores,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,2
no checking account,15,existing credits paid back duly till now,furniture/equipment,2708,x <  100 DM, x < 1 year,2,male:single,none,3,if not A121:building society savings agreement/life insurance,27,bank,own,2,unskilled-resident,1,none,yes,1
no checking account,18,existing credits paid back duly till now,furniture/equipment,1984,x <  100 DM,1  <= x < 4 years,4,male:single,none,4,unknown/no property,47,bank,for free,2,skilled employee/official,1,none,yes,1
